id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,periode_update,kategori,jumlah,satuan,tahun
1,11,35,JAWA TIMUR,3501,Kabupaten Pacitan,2024,PERSENTASE USAHA KECIL,0.01,UNIT USAHA,2024
1,21,35,JAWA TIMUR,3501,Kabupaten Pacitan,2024,PERSENTASE USAHA MENENGAH,0.02,UNIT USAHA,2024
1,31,35,JAWA TIMUR,3501,Kabupaten Pacitan,2024,PERSENTASE USAHA MIKRO,99.97,UNIT USAHA,2024
2,42,35,JAWA TIMUR,3502,Kabupaten Ponorogo,2024,PERSENTASE USAHA KECIL,0.08,UNIT USAHA,2024
2,52,35,JAWA TIMUR,3502,Kabupaten Ponorogo,2024,PERSENTASE USAHA MENENGAH,0.02,UNIT USAHA,2024
2,62,35,JAWA TIMUR,3502,Kabupaten Ponorogo,2024,PERSENTASE USAHA MIKRO,99.89,UNIT USAHA,2024
3,73,35,JAWA TIMUR,3503,Kabupaten Trenggalek,2024,PERSENTASE USAHA KECIL,0,UNIT USAHA,2024
3,83,35,JAWA TIMUR,3503,Kabupaten Trenggalek,2024,PERSENTASE USAHA MENENGAH,0,UNIT USAHA,2024
3,93,35,JAWA TIMUR,3503,Kabupaten Trenggalek,2024,PERSENTASE USAHA MIKRO,100,UNIT USAHA,2024
4,104,35,JAWA TIMUR,3504,Kabupaten Tulungagung,2024,PERSENTASE USAHA KECIL,0.02,UNIT USAHA,2024
4,114,35,JAWA TIMUR,3504,Kabupaten Tulungagung,2024,PERSENTASE USAHA MENENGAH,0,UNIT USAHA,2024
4,124,35,JAWA TIMUR,3504,Kabupaten Tulungagung,2024,PERSENTASE USAHA MIKRO,99.98,UNIT USAHA,2024
5,135,35,JAWA TIMUR,3572,Kota Blitar,2024,PERSENTASE USAHA KECIL,0.04,UNIT USAHA,2024
5,145,35,JAWA TIMUR,3572,Kota Blitar,2024,PERSENTASE USAHA MENENGAH,0.01,UNIT USAHA,2024
5,155,35,JAWA TIMUR,3572,Kota Blitar,2024,PERSENTASE USAHA MIKRO,99.95,UNIT USAHA,2024
6,166,35,JAWA TIMUR,3571,Kota Kediri,2024,PERSENTASE USAHA KECIL,0.06,UNIT USAHA,2024
6,176,35,JAWA TIMUR,3571,Kota Kediri,2024,PERSENTASE USAHA MENENGAH,0.02,UNIT USAHA,2024
6,186,35,JAWA TIMUR,3571,Kota Kediri,2024,PERSENTASE USAHA MIKRO,99.92,UNIT USAHA,2024
7,197,35,JAWA TIMUR,3573,Kota Malang,2024,PERSENTASE USAHA KECIL,0.03,UNIT USAHA,2024
7,207,35,JAWA TIMUR,3573,Kota Malang,2024,PERSENTASE USAHA MENENGAH,0.01,UNIT USAHA,2024
